Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2080 2T24 0523 DISTRIBUCIONNES LAVAPIES TF.pdf,LAVAPIES,23-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2080_2T24_0523_DISTRIBUCIONNES_LAVAPIES_TF.xlsx
2081 2T24 0527 PURISIMA TF.pdf,PURISIMA,27-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2081_2T24_0527_PURISIMA_TF.xlsx
2082 2T24 0528 KINEMA RC.pdf,KINEMA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2082_2T24_0528_KINEMA_RC.xlsx
2083 2T24 0531 FABEIRO TF.PDF,FABEIRO,31-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2083_2T24_0531_FABEIRO_TF.xlsx
2084 2T24 0531 FRANCISCO GUERRA TF.pdf,GUERRA,31-05-31,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2084_2T24_0531_FRANCISCO_GUERRA_TF.xlsx
2085 2T24 0531 JULIO GARCIA VIVAS.pdf,VIVAS,31-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2085_2T24_0531_JULIO_GARCIA_VIVAS.xlsx
2086 2T24 0531 LICORES MADRUE�O RC.PDF,LICORES MADRUE�O,10-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2086_2T24_0531_LICORES_MADRUEÑO_RC.xlsx
2087 2T24 0531 PANIFIESTO.pdf,PANIFIESTO,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2087_2T24_0531_PANIFIESTO.xlsx
2088 2T24 0531 PILAR RODRIGUEZ.pdf,RODRIGUEZ,31-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2088_2T24_0531_PILAR_RODRIGUEZ.xlsx
2089 2T 24 0604 LA ROSQUILLERIA TR.pdf,ROSQUILLERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2089_2T_24_0604_LA_ROSQUILLERIA_TR.xlsx
2090 2T 24 0605 BODEGA VIRGEN DE LA SIERRA COOP TR.pdf,SIERRA,05-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2090_2T_24_0605_BODEGA_VIRGEN_DE_LA_SIERRA_COOP_TR.xlsx
2091 2T 24 0605 BODEGAS MU�OZ MARTIN  CB TR.pdf,MARTIN,05-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2091_2T_24_0605_BODEGAS_MUÑOZ_MARTIN_CB_TR.xlsx
2092 2T24 0401 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2092_2T24_0401_JIMELUZ_EF.xlsx
2093 2T24 0404 CASA DEL DUQUE 2015 SL TJ.pdf,DUQUE,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2093_2T24_0404_CASA_DEL_DUQUE_2015_SL_TJ.xlsx
2094 2T24 0406 CASA DEL DUQUE 2015 SL TJ.pdf,DUQUE,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2094_2T24_0406_CASA_DEL_DUQUE_2015_SL_TJ.xlsx
2095 2T24 0406 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2095_2T24_0406_JIMELUZ_EF.xlsx
2096 2T24 0407 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2096_2T24_0407_JIMELUZ_EF.xlsx
2097 2T24 0411 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2097_2T24_0411_BM_TJ.xlsx
